LSP Name,Lender,Portfolio,Amount,AsOnTimestamp,ScrapeTimestamp,Complete,Changes
Uniorbit Technologies Private Limited,RE - 1,Portfolio - 1,35.85,31-12-2025,12-01-2026 05:10,Partial,
Uniorbit Technologies Private Limited,1,1,35.85,,12-01-2026 05:10,Partial,"Row to be removed, shows Grand Total"
Moneyview Limited,,Partner 1,286.18,31-12-2025,12-01-2026 05:10,Partial,
Moneyview Limited,,Partner 2,354.29,31-12-2025,12-01-2026 05:10,Partial,
Moneyview Limited,,Partner 3,1344.26,31-12-2025,12-01-2026 05:10,Partial,
Moneyview Limited,,Partner 4,823.86,31-12-2025,12-01-2026 05:10,Partial,
Moneyview Limited,,Partner 5,3362.74,31-12-2025,12-01-2026 05:10,Partial,
Moneyview Limited,,Partner 6,0.05,31-12-2025,12-01-2026 05:10,Partial,
Moneyview Limited,,Partner 7,1624.71,31-12-2025,12-01-2026 05:10,Partial,
Moneyview Limited,,Partner 8,416.92,31-12-2025,12-01-2026 05:10,Partial,
Moneyview Limited,,Partner 9,323.75,31-12-2025,12-01-2026 05:10,Partial,
Moneyview Limited,,Partner 10,158.52,31-12-2025,12-01-2026 05:10,Partial,
Moneyview Limited,,Partner 11,4.45,31-12-2025,12-01-2026 05:10,Partial,
Moneyview Limited,,Partner 12,948.44,31-12-2025,12-01-2026 05:10,Partial,
Moneyview Limited,,Partner 13,472.65,31-12-2025,12-01-2026 05:10,Partial,
Moneyview Limited,,Partner 14,423.03,31-12-2025,12-01-2026 05:10,Partial,
Moneyview Limited,,Partner 15,26.42,31-12-2025,12-01-2026 05:10,Partial,
Moneyview Limited,,Partner 16,34.85,31-12-2025,12-01-2026 05:10,Partial,
Moneyview Limited,,Partner 17,2.61,31-12-2025,12-01-2026 05:10,Partial,
SaveIN Fintech Pvt Ltd,,Cohort 1,50,31-12-2025,12-01-2026 05:10,Partial,"Numbers were missing, added manually"
SaveIN Fintech Pvt Ltd,,Cohort 2,30,31-12-2025,12-01-2026 05:10,Partial,
SaveIN Fintech Pvt Ltd,,Cohort 3,50,31-12-2025,12-01-2026 05:10,Partial,
SaveIN Fintech Pvt Ltd,,Cohort 4,20,31-12-2025,12-01-2026 05:10,Partial,
SaveIN Fintech Pvt Ltd,,Cohort 5,25,31-12-2025,12-01-2026 05:10,Partial,
SaveIN Fintech Pvt Ltd,,Cohort 6,20,31-12-2025,12-01-2026 05:10,Partial,
SaveIN Fintech Pvt Ltd,,Cohort 7,50,31-12-2025,12-01-2026 05:10,Partial,
SaveIN Fintech Pvt Ltd,,Cohort 8,20,31-12-2025,12-01-2026 05:10,Partial,
SaveIN Fintech Pvt Ltd,,Cohort 9,20,31-12-2025,12-01-2026 05:10,Partial,
SaveIN Fintech Pvt Ltd,,Cohort 10,25,31-12-2025,12-01-2026 05:10,Partial,
Vaibhav Vyapaar Private Limited (VVPL),,Portfolio - 1,4.35,31-12-2025,12-01-2026 05:10,Completed,"The URL was a static one for October. Manually changed ""october"" to ""december"" in the URL to get the latest numbers"
Vaibhav Vyapaar Private Limited (VVPL),,Portfolio - 2,4.95,31-12-2025,12-01-2026 05:10,Completed,
Smartcoin Financials Private Limited,,Portfolio 1,343.06,31-12-2025,12-01-2026 05:10,Partial,
Smartcoin Financials Private Limited,,Portfolio 2,221,31-12-2025,12-01-2026 05:10,Partial,
Smartcoin Financials Private Limited,,Portfolio 3,46.16,31-12-2025,12-01-2026 05:10,Partial,
Smartcoin Financials Private Limited,,Portfolio 4,220.83,31-12-2025,12-01-2026 05:10,Partial,
Smartcoin Financials Private Limited,,Grand Total,831.04,,12-01-2026 05:10,Partial,"Row to be removed, shows Grand Total"
PhonePe Lending Services Private Limited,S.No,S.No,,,12-01-2026 05:10,Partial,"Row to be removed, shows S.No."
PhonePe Lending Services Private Limited,1,Portfolio 1,363.8,31-12-2025,12-01-2026 05:10,Partial,"Didn't show any numbers, all columns were ""1"", ""2"", and ""3"". Corrected manually"
PhonePe Lending Services Private Limited,2,Portfolio 2,613,31-12-2025,12-01-2026 05:10,Partial,
PhonePe Lending Services Private Limited,3,Portfolio 3,55.7,31-12-2025,12-01-2026 05:10,Partial,
OnionLife Private Limited,,Portfolio 1,18.28,31-12-2025,12-01-2026 05:10,Partial,
OnionLife Private Limited,,Portfolio 2,8.08,31-12-2025,12-01-2026 05:10,Partial,
OnionLife Private Limited,,Portfolio 3,7.88,31-12-2025,12-01-2026 05:10,Partial,
OnionLife Private Limited,,Portfolio 4,5.54,31-12-2025,12-01-2026 05:10,Partial,
OnionLife Private Limited,,Portfolio 5,2.31,31-12-2025,12-01-2026 05:10,Partial,
OnionLife Private Limited,,Portfolio 6,2.23,31-12-2025,12-01-2026 05:10,Partial,
OnionLife Private Limited,,Portfolio 7,1.84,31-12-2025,12-01-2026 05:10,Partial,
OnionLife Private Limited,,Portfolio 8,1.67,31-12-2025,12-01-2026 05:10,Partial,
OnionLife Private Limited,,Portfolio 9,0.01,31-12-2025,12-01-2026 05:10,Partial,
OnionLife Private Limited,,Total,47.85,,12-01-2026 05:10,Partial,"Row to be removed, shows Grand Total"
OnEMI Technlology Solutions Limited,1,Portfolio 1,167.87,31-12-2025,12-01-2026 05:10,Partial,
OnEMI Technlology Solutions Limited,2,Portfolio 1,78.58,31-12-2025,12-01-2026 05:10,Partial,
OnEMI Technlology Solutions Limited,,Portfolio 2,180.47,31-12-2025,12-01-2026 05:10,Partial,
OnEMI Technlology Solutions Limited,,Portfolio 3,384.21,31-12-2025,12-01-2026 05:10,Partial,
OnEMI Technlology Solutions Limited,3,Portfolio 1,137.33,31-12-2025,12-01-2026 05:10,Partial,
OnEMI Technlology Solutions Limited,,Portfolio 2,379.85,31-12-2025,12-01-2026 05:10,Partial,
OnEMI Technlology Solutions Limited,4,Portfolio 1,0.37,31-12-2025,12-01-2026 05:10,Partial,
